Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
City of London,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
City of London,Other equipment,"Irritant spray, of which",36.0,22.0,4.0,1.0,0.0,0.0,3.0,0.0,66.0,Other equipment,Total: Irritant spray
City of London,Other equipment,Irritant spray - drawn,22.0,14.0,4.0,1.0,0.0,0.0,1.0,0.0,42.0,Other equipment,Irritant spray: drawn
City of London,Other equipment,Irritant spray - used,14.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,Other equipment,Irritant spray: used
City of London,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
City of London,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Spit and bite guard
City of London,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,Other equipment,Shield
City of London,Less lethal weapons,*Total Less lethal weapons,20.0,19.0,8.0,0.0,0.0,1.0,1.0,0.0,49.0,Less lethal weapons,Total: Less lethal weapons
City of London,Less lethal weapons,CED,20.0,19.0,8.0,0.0,0.0,1.0,1.0,0.0,49.0,Less lethal weapons,CED
City of London,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
City of London,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
City of London,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
City of London,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
City of London,Firearms,*Total Firearms,6.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,18.0,Firearms,Total: Firearms
City of London,Other,*Total Other,65.0,41.0,13.0,1.0,0.0,3.0,5.0,0.0,128.0,Other,Total: Other
City of London,Other,"Dog use, of which",9.0,16.0,8.0,0.0,0.0,2.0,3.0,0.0,38.0,Other,Total: Dog
City of London,Other,Dog deployed,8.0,15.0,8.0,0.0,0.0,2.0,3.0,0.0,36.0,Other,Dog: deployed
City of London,Other,Dog bite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
City of London,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
City of London,Other,Other / improvised,56.0,25.0,5.0,1.0,0.0,1.0,2.0,0.0,90.0,Other,Other / improvised
City of London,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,Not reported,Total: Not reported
City of London,Tactical communication,Tactical communication,706.0,340.0,138.0,13.0,0.0,27.0,18.0,0.0,1242.0,Excluded: Tactical Communication,Tactical Communication
Cleveland,Total (excluding not reported and tactical communication),*Total Tactics,12566.0,269.0,348.0,4.0,107.0,73.0,54.0,0.0,13421.0,Total,Total: all
Cleveland,Restraint,*Total Restraint,9372.0,203.0,273.0,3.0,80.0,62.0,36.0,0.0,10029.0,Restraint,Total: Restraint
Cleveland,Restraint,"Handcuffing, of which",7143.0,159.0,227.0,2.0,64.0,58.0,29.0,0.0,7682.0,Restraint,Total: Handcuffing
Cleveland,Restraint,Compliant handcuffing,4886.0,120.0,179.0,2.0,46.0,47.0,23.0,0.0,5303.0,Restraint,Handcuffing: compliant
Cleveland,Restraint,Non-compliant handcuffing,2257.0,39.0,48.0,0.0,18.0,11.0,6.0,0.0,2379.0,Restraint,Handcuffing: non-compliant
Cleveland,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Cleveland,Restraint,Limb / Body restraints,236.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,251.0,Restraint,Limb / body restraints
Cleveland,Restraint,Ground restraint,1993.0,41.0,36.0,1.0,14.0,4.0,7.0,0.0,2096.0,Restraint,Ground restraint
Cleveland,Unarmed skills,*Total Unarmed skills,2320.0,51.0,49.0,1.0,22.0,9.0,14.0,0.0,2466.0,Unarmed skills,Total: unarmed skills
Cleveland,Other equipment,*Total Other equipment,410.0,9.0,16.0,0.0,2.0,1.0,0.0,0.0,438.0,Other equipment,Total: Other equipment
Cleveland,Other equipment,"Baton, of which",122.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,134.0,Other equipment,Total: Baton
Cleveland,Other equipment,Baton drawn,82.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,91.0,Other equipment,Baton: drawn
Cleveland,Other equipment,Baton used,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,Other equipment,Baton: used
Cleveland,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Cleveland,Other equipment,"Irritant spray, of which",276.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,292.0,Other equipment,Total: Irritant spray
Cleveland,Other equipment,Irritant spray - drawn,130.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,138.0,Other equipment,Irritant spray: drawn
Cleveland,Other equipment,Irritant spray - used,146.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,154.0,Other equipment,Irritant spray: used
Cleveland,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Cleveland,Other equipment,Spit and bite guard,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Spit and bite guard
Cleveland,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Other equipment,Shield
Cleveland,Less lethal weapons,*Total Less lethal weapons,254.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,265.0,Less lethal weapons,Total: Less lethal weapons
Cleveland,Less lethal weapons,CED,238.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,249.0,Less lethal weapons,CED
Cleveland,Less lethal weapons,"AEP, of which",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Less lethal weapons,Total: AEP
Cleveland,Less lethal weapons,AEP aimed,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Less lethal weapons,AEP: Aimed
Cleveland,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Cleveland,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Cleveland,Firearms,*Total Firearms,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,Firearms,Total: Firearms
Cleveland,Other,*Total Other,179.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,190.0,Other,Total: Other
Cleveland,Other,"Dog use, of which",31.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,37.0,Other,Total: Dog
Cleveland,Other,Dog deployed,23.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,27.0,Other,Dog: deployed
Cleveland,Other,Dog bite,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,Other,Dog: bite
Cleveland,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Cleveland,Other,Other / improvised,148.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,153.0,Other,Other / improvised
Cleveland,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Cleveland,Tactical communication,Tactical communication,6451.0,151.0,181.0,3.0,56.0,36.0,29.0,0.0,6907.0,Excluded: Tactical Communication,Tactical Communication
Cumbria,Total (excluding not reported and tactical communication),*Total Tactics,6115.0,33.0,20.0,5.0,12.0,8.0,59.0,0.0,6252.0,Total,Total: all
Cumbria,Restraint,*Total Restraint,3521.0,20.0,10.0,5.0,7.0,7.0,29.0,0.0,3599.0,Restraint,Total: Restraint
Cumbria,Restraint,"Handcuffing, of which",2642.0,17.0,8.0,3.0,7.0,7.0,21.0,0.0,2705.0,Restraint,Total: Handcuffing
Cumbria,Restraint,Compliant handcuffing,1213.0,9.0,6.0,2.0,4.0,5.0,8.0,0.0,1247.0,Restraint,Handcuffing: compliant
Cumbria,Restraint,Non-compliant handcuffing,1429.0,8.0,2.0,1.0,3.0,2.0,13.0,0.0,1458.0,Restraint,Handcuffing: non-compliant
Cumbria,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Cumbria,Restraint,Limb / Body restraints,151.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,156.0,Restraint,Limb / body restraints
Cumbria,Restraint,Ground restraint,728.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,738.0,Restraint,Ground restraint
Cumbria,Unarmed skills,*Total Unarmed skills,1684.0,7.0,7.0,0.0,3.0,1.0,11.0,0.0,1713.0,Unarmed skills,Total: unarmed skills
Cumbria,Other equipment,*Total Other equipment,418.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,429.0,Other equipment,Total: Other equipment
Cumbria,Other equipment,"Baton, of which",20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,Other equipment,Total: Baton
Cumbria,Other equipment,Baton drawn,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,Other equipment,Baton: drawn
Cumbria,Other equipment,Baton used,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,Other equipment,Baton: used
Cumbria,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Cumbria,Other equipment,"Irritant spray, of which",375.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,383.0,Other equipment,Total: Irritant spray
Cumbria,Other equipment,Irritant spray - drawn,151.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,154.0,Other equipment,Irritant spray: drawn
Cumbria,Other equipment,Irritant spray - used,224.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,229.0,Other equipment,Irritant spray: used
Cumbria,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Cumbria,Other equipment,Spit and bite guard,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Other equipment,Spit and bite guard
Cumbria,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Shield
Cumbria,Less lethal weapons,*Total Less lethal weapons,206.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,214.0,Less lethal weapons,Total: Less lethal weapons
Cumbria,Less lethal weapons,CED,206.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,214.0,Less lethal weapons,CED
Cumbria,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Cumbria,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
Cumbria,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Cumbria,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Cumbria,Firearms,*Total Firearms,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Firearms,Total: Firearms
Cumbria,Other,*Total Other,280.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,291.0,Other,Total: Other
Cumbria,Other,"Dog use, of which",21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,Other,Total: Dog
Cumbria,Other,Dog deployed,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,Other,Dog: deployed
Cumbria,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Cumbria,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Cumbria,Other,Other / improvised,259.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,268.0,Other,Other / improvised
Cumbria,Not reported,*Total Not reported,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Not reported,Total: Not reported
Cumbria,Tactical communication,Tactical communication,2596.0,16.0,10.0,2.0,6.0,2.0,19.0,0.0,2651.0,Excluded: Tactical Communication,Tactical Communication
Derbyshire,Total (excluding not reported and tactical communication),*Total Tactics,5055.0,428.0,213.0,1.0,0.0,26.0,63.0,0.0,5786.0,Total,Total: all
Derbyshire,Restraint,*Total Restraint,2660.0,217.0,130.0,1.0,0.0,12.0,25.0,0.0,3045.0,Restraint,Total: Restraint
Derbyshire,Restraint,"Handcuffing, of which",2031.0,168.0,118.0,1.0,0.0,11.0,20.0,0.0,2349.0,Restraint,Total: Handcuffing
Derbyshire,Restraint,Compliant handcuffing,934.0,75.0,77.0,1.0,0.0,6.0,17.0,0.0,1110.0,Restraint,Handcuffing: compliant
Derbyshire,Restraint,Non-compliant handcuffing,1097.0,93.0,41.0,0.0,0.0,5.0,3.0,0.0,1239.0,Restraint,Handcuffing: non-compliant
Derbyshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Derbyshire,Restraint,Limb / Body restraints,263.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,283.0,Restraint,Limb / body restraints
Derbyshire,Restraint,Ground restraint,366.0,36.0,5.0,0.0,0.0,1.0,5.0,0.0,413.0,Restraint,Ground restraint
Derbyshire,Unarmed skills,*Total Unarmed skills,1463.0,126.0,54.0,0.0,0.0,8.0,18.0,0.0,1669.0,Unarmed skills,Total: unarmed skills
Derbyshire,Other equipment,*Total Other equipment,579.0,51.0,13.0,0.0,0.0,5.0,10.0,0.0,658.0,Other equipment,Total: Other equipment
Derbyshire,Other equipment,"Baton, of which",64.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,73.0,Other equipment,Total: Baton
Derbyshire,Other equipment,Baton drawn,41.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,49.0,Other equipment,Baton: drawn
Derbyshire,Other equipment,Baton used,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Other equipment,Baton: used
Derbyshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Derbyshire,Other equipment,"Irritant spray, of which",452.0,38.0,11.0,0.0,0.0,4.0,9.0,0.0,514.0,Other equipment,Total: Irritant spray
Derbyshire,Other equipment,Irritant spray - drawn,211.0,20.0,5.0,0.0,0.0,2.0,6.0,0.0,244.0,Other equipment,Irritant spray: drawn
Derbyshire,Other equipment,Irritant spray - used,241.0,18.0,6.0,0.0,0.0,2.0,3.0,0.0,270.0,Other equipment,Irritant spray: used
Derbyshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Derbyshire,Other equipment,Spit and bite guard,55.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Other equipment,Spit and bite guard
Derbyshire,Other equipment,Shield,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Other equipment,Shield
Derbyshire,Less lethal weapons,*Total Less lethal weapons,143.0,10.0,7.0,0.0,0.0,1.0,4.0,0.0,165.0,Less lethal weapons,Total: Less lethal weapons
Derbyshire,Less lethal weapons,CED,131.0,10.0,7.0,0.0,0.0,1.0,4.0,0.0,153.0,Less lethal weapons,CED
Derbyshire,Less lethal weapons,"AEP, of which",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Less lethal weapons,Total: AEP
Derbyshire,Less lethal weapons,AEP aimed,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Less lethal weapons,AEP: Aimed
Derbyshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Derbyshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Derbyshire,Firearms,*Total Firearms,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,Firearms,Total: Firearms
Derbyshire,Other,*Total Other,182.0,20.0,9.0,0.0,0.0,0.0,6.0,0.0,217.0,Other,Total: Other
Derbyshire,Other,"Dog use, of which",11.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,Other,Total: Dog
Derbyshire,Other,Dog deployed,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,Other,Dog: deployed
Derbyshire,Other,Dog bite,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Other,Dog: bite
Derbyshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Derbyshire,Other,Other / improvised,171.0,18.0,8.0,0.0,0.0,0.0,5.0,0.0,202.0,Other,Other / improvised
Derbyshire,Not reported,*Total Not reported,8.0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,Not reported,Total: Not reported
Derbyshire,Tactical communication,Tactical communication,2178.0,197.0,98.0,1.0,0.0,9.0,28.0,0.0,2511.0,Excluded: Tactical Communication,Tactical Communication
Devon & Cornwall ,Total (excluding not reported and tactical communication),*Total Tactics,10828.0,238.0,83.0,5.0,164.0,54.0,169.0,0.0,11541.0,Total,Total: all
Devon & Cornwall ,Restraint,*Total Restraint,6137.0,148.0,53.0,3.0,102.0,31.0,97.0,0.0,6571.0,Restraint,Total: Restraint
Devon & Cornwall ,Restraint,"Handcuffing, of which",5230.0,134.0,45.0,3.0,88.0,30.0,76.0,0.0,5606.0,Restraint,Total: Handcuffing
Devon & Cornwall ,Restraint,Compliant handcuffing,2301.0,61.0,22.0,1.0,37.0,11.0,22.0,0.0,2455.0,Restraint,Handcuffing: compliant
Devon & Cornwall ,Restraint,Non-compliant handcuffing,2929.0,73.0,23.0,2.0,51.0,19.0,54.0,0.0,3151.0,Restraint,Handcuffing: non-compliant
Devon & Cornwall ,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Devon & Cornwall ,Restraint,Limb / Body restraints,147.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,154.0,Restraint,Limb / body restraints
Devon & Cornwall ,Restraint,Ground restraint,760.0,14.0,7.0,0.0,13.0,1.0,16.0,0.0,811.0,Restraint,Ground restraint
Devon & Cornwall ,Unarmed skills,*Total Unarmed skills,3546.0,64.0,24.0,1.0,41.0,14.0,46.0,0.0,3736.0,Unarmed skills,Total: unarmed skills
Devon & Cornwall ,Other equipment,*Total Other equipment,261.0,6.0,1.0,0.0,10.0,1.0,5.0,0.0,284.0,Other equipment,Total: Other equipment
Devon & Cornwall ,Other equipment,"Baton, of which",27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,Other equipment,Total: Baton
Devon & Cornwall ,Other equipment,Baton drawn,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,Other equipment,Baton: drawn
Devon & Cornwall ,Other equipment,Baton used,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other equipment,Baton: used
Devon & Cornwall ,Other equipment,Not stated baton,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Other equipment,Baton: not stated
Devon & Cornwall ,Other equipment,"Irritant spray, of which",185.0,6.0,1.0,0.0,8.0,1.0,2.0,0.0,203.0,Other equipment,Total: Irritant spray
Devon & Cornwall ,Other equipment,Irritant spray - drawn,161.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,174.0,Other equipment,Irritant spray: drawn
Devon & Cornwall ,Other equipment,Irritant spray - used,24.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0,Other equipment,Irritant spray: used
Devon & Cornwall ,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Devon & Cornwall ,Other equipment,Spit and bite guard,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,Other equipment,Spit and bite guard
Devon & Cornwall ,Other equipment,Shield,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,Other equipment,Shield
Devon & Cornwall ,Less lethal weapons,*Total Less lethal weapons,669.0,17.0,4.0,1.0,11.0,7.0,14.0,0.0,723.0,Less lethal weapons,Total: Less lethal weapons
Devon & Cornwall ,Less lethal weapons,CED,644.0,17.0,4.0,1.0,10.0,7.0,13.0,0.0,696.0,Less lethal weapons,CED
Devon & Cornwall ,Less lethal weapons,"AEP, of which",25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,Less lethal weapons,Total: AEP
Devon & Cornwall ,Less lethal weapons,AEP aimed,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Less lethal weapons,AEP: Aimed
Devon & Cornwall ,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Devon & Cornwall ,Less lethal weapons,Not stated AEP,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,Less lethal weapons,AEP: Not stated
Devon & Cornwall ,Firearms,*Total Firearms,85.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,90.0,Firearms,Total: Firearms
Devon & Cornwall ,Other,*Total Other,130.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,137.0,Other,Total: Other
Devon & Cornwall ,Other,"Dog use, of which",29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,Other,Total: Dog
Devon & Cornwall ,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Other,Dog: deployed
Devon & Cornwall ,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: bite
Devon & Cornwall ,Other,Not stated dog,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,Other,Dog: not stated
Devon & Cornwall ,Other,Other / improvised,101.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,106.0,Other,Other / improvised
Devon & Cornwall ,Not reported,*Total Not reported,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not reported,Total: Not reported
Devon & Cornwall ,Tactical communication,Tactical communication,7988.0,167.0,64.0,3.0,123.0,40.0,107.0,0.0,8492.0,Excluded: Tactical Communication,Tactical Communication
Dorset,Total (excluding not reported and tactical communication),*Total Tactics,10254.0,743.0,114.0,6.0,0.0,78.0,1944.0,0.0,13139.0,Total,Total: all
Dorset,Restraint,*Total Restraint,8109.0,577.0,86.0,5.0,0.0,60.0,1511.0,0.0,10348.0,Restraint,Total: Restraint
Dorset,Restraint,"Handcuffing, of which",5531.0,423.0,69.0,5.0,0.0,48.0,1090.0,0.0,7166.0,Restraint,Total: Handcuffing
Dorset,Restraint,Compliant handcuffing,1821.0,182.0,34.0,4.0,0.0,21.0,415.0,0.0,2477.0,Restraint,Handcuffing: compliant
Dorset,Restraint,Non-compliant handcuffing,3710.0,241.0,35.0,1.0,0.0,27.0,675.0,0.0,4689.0,Restraint,Handcuffing: non-compliant
Dorset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Dorset,Restraint,Limb / Body restraints,610.0,37.0,2.0,0.0,0.0,1.0,115.0,0.0,765.0,Restraint,Limb / body restraints
Dorset,Restraint,Ground restraint,1968.0,117.0,15.0,0.0,0.0,11.0,306.0,0.0,2417.0,Restraint,Ground restraint
Dorset,Unarmed skills,*Total Unarmed skills,1410.0,96.0,20.0,1.0,0.0,13.0,278.0,0.0,1818.0,Unarmed skills,Total: unarmed skills
Dorset,Other equipment,*Total Other equipment,310.0,36.0,2.0,0.0,0.0,4.0,70.0,0.0,422.0,Other equipment,Total: Other equipment
Dorset,Other equipment,"Baton, of which",23.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,35.0,Other equipment,Total: Baton
Dorset,Other equipment,Baton drawn,18.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,28.0,Other equipment,Baton: drawn
Dorset,Other equipment,Baton used,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Other equipment,Baton: used
Dorset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Dorset,Other equipment,"Irritant spray, of which",269.0,32.0,2.0,0.0,0.0,4.0,61.0,0.0,368.0,Other equipment,Total: Irritant spray
Dorset,Other equipment,Irritant spray - drawn,74.0,9.0,0.0,0.0,0.0,2.0,16.0,0.0,101.0,Other equipment,Irritant spray: drawn
Dorset,Other equipment,Irritant spray - used,195.0,23.0,2.0,0.0,0.0,2.0,45.0,0.0,267.0,Other equipment,Irritant spray: used
Dorset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Dorset,Other equipment,Spit and bite guard,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,Other equipment,Spit and bite guard
Dorset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Shield
Dorset,Less lethal weapons,*Total Less lethal weapons,182.0,22.0,3.0,0.0,0.0,1.0,44.0,0.0,252.0,Less lethal weapons,Total: Less lethal weapons
Dorset,Less lethal weapons,CED,182.0,22.0,3.0,0.0,0.0,1.0,44.0,0.0,252.0,Less lethal weapons,CED
Dorset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Dorset,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Aimed
Dorset,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Dorset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Dorset,Firearms,*Total Firearms,84.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,91.0,Firearms,Total: Firearms
