Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported
North Wales,Less lethal weapons,CED,127.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,130.0
North Wales,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Firearms,*Total Firearms,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
North Wales,Other,*Total Other,582.0,6.0,2.0,0.0,0.0,1.0,8.0,0.0,599.0
North Wales,Other,"Dog use, of which",2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
North Wales,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
North Wales,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other,Other / improvised,580.0,6.0,2.0,0.0,0.0,1.0,7.0,0.0,596.0
North Wales,Not reported,*Total Not reported,36.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,39.0
North Wales,Tactical communication,Tactical communication,104.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,107.0
North Yorkshire,Total (excluding not reported and tactical communication),*Total Tactics,4560.0,81.0,84.0,1.0,62.0,33.0,9.0,0.0,4830.0
North Yorkshire,Restraint,*Total Restraint,2567.0,52.0,51.0,1.0,34.0,21.0,4.0,0.0,2730.0
North Yorkshire,Restraint,"Handcuffing, of which",1775.0,42.0,43.0,1.0,23.0,17.0,3.0,0.0,1904.0
North Yorkshire,Restraint,Compliant handcuffing,958.0,29.0,35.0,1.0,12.0,12.0,0.0,0.0,1047.0
North Yorkshire,Restraint,Non-compliant handcuffing,817.0,13.0,8.0,0.0,11.0,5.0,3.0,0.0,857.0
North Yorkshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Restraint,Limb / Body restraints,142.0,3.0,3.0,0.0,4.0,1.0,1.0,0.0,154.0
North Yorkshire,Restraint,Ground restraint,650.0,7.0,5.0,0.0,7.0,3.0,0.0,0.0,672.0
North Yorkshire,Unarmed skills,*Total Unarmed skills,1301.0,17.0,18.0,0.0,16.0,7.0,5.0,0.0,1364.0
North Yorkshire,Other equipment,*Total Other equipment,323.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,333.0
North Yorkshire,Other equipment,"Baton, of which",32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
North Yorkshire,Other equipment,Baton drawn,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
North Yorkshire,Other equipment,Baton used,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
North Yorkshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other equipment,"Irritant spray, of which",228.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,235.0
North Yorkshire,Other equipment,Irritant spray - drawn,87.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,91.0
North Yorkshire,Other equipment,Irritant spray - used,141.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,144.0
North Yorkshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other equipment,Spit and bite guard,61.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,63.0
North Yorkshire,Other equipment,Shield,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
North Yorkshire,Less lethal weapons,*Total Less lethal weapons,243.0,8.0,6.0,0.0,6.0,1.0,0.0,0.0,264.0
North Yorkshire,Less lethal weapons,CED,230.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,246.0
North Yorkshire,Less lethal weapons,"AEP, of which",13.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0
North Yorkshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Less lethal weapons,Not stated AEP,13.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0
North Yorkshire,Firearms,*Total Firearms,31.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,42.0
North Yorkshire,Other,*Total Other,95.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0
North Yorkshire,Other,"Dog use, of which",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
North Yorkshire,Other,Dog deployed,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
North Yorkshire,Other,Dog bite,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
North Yorkshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other,Other / improvised,87.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,89.0
North Yorkshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Tactical communication,Tactical communication,1831.0,33.0,25.0,0.0,21.0,18.0,6.0,0.0,1934.0
Northamptonshire,Total (excluding not reported and tactical communication),*Total Tactics,10130.0,1292.0,224.0,7.0,370.0,70.0,49.0,1.0,12143.0
Northamptonshire,Restraint,*Total Restraint,5937.0,738.0,163.0,6.0,205.0,52.0,26.0,0.0,7127.0
Northamptonshire,Restraint,"Handcuffing, of which",4144.0,552.0,137.0,6.0,148.0,46.0,15.0,0.0,5048.0
Northamptonshire,Restraint,Compliant handcuffing,2587.0,375.0,106.0,6.0,99.0,41.0,12.0,0.0,3226.0
Northamptonshire,Restraint,Non-compliant handcuffing,1557.0,177.0,31.0,0.0,49.0,5.0,3.0,0.0,1822.0
Northamptonshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Restraint,Limb / Body restraints,450.0,26.0,5.0,0.0,13.0,1.0,4.0,0.0,499.0
Northamptonshire,Restraint,Ground restraint,1343.0,160.0,21.0,0.0,44.0,5.0,7.0,0.0,1580.0
Northamptonshire,Unarmed skills,*Total Unarmed skills,2311.0,261.0,35.0,1.0,79.0,11.0,11.0,0.0,2709.0
Northamptonshire,Other equipment,*Total Other equipment,730.0,106.0,5.0,0.0,32.0,2.0,4.0,1.0,880.0
Northamptonshire,Other equipment,"Baton, of which",116.0,16.0,2.0,0.0,5.0,0.0,1.0,0.0,140.0
Northamptonshire,Other equipment,Baton drawn,59.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,73.0
Northamptonshire,Other equipment,Baton used,57.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,67.0
Northamptonshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other equipment,"Irritant spray, of which",470.0,75.0,2.0,0.0,20.0,1.0,3.0,1.0,572.0
Northamptonshire,Other equipment,Irritant spray - drawn,211.0,38.0,1.0,0.0,9.0,1.0,3.0,0.0,263.0
Northamptonshire,Other equipment,Irritant spray - used,259.0,37.0,1.0,0.0,11.0,0.0,0.0,1.0,309.0
Northamptonshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other equipment,Spit and bite guard,134.0,13.0,1.0,0.0,6.0,1.0,0.0,0.0,155.0
Northamptonshire,Other equipment,Shield,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
Northamptonshire,Less lethal weapons,*Total Less lethal weapons,455.0,75.0,16.0,0.0,26.0,2.0,3.0,0.0,577.0
Northamptonshire,Less lethal weapons,CED,446.0,70.0,15.0,0.0,24.0,2.0,3.0,0.0,560.0
Northamptonshire,Less lethal weapons,"AEP, of which",9.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,17.0
Northamptonshire,Less lethal weapons,AEP aimed,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
Northamptonshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Less lethal weapons,Not stated AEP,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0
Northamptonshire,Firearms,*Total Firearms,50.0,22.0,1.0,0.0,7.0,0.0,0.0,0.0,80.0
Northamptonshire,Other,*Total Other,647.0,90.0,4.0,0.0,21.0,3.0,5.0,0.0,770.0
Northamptonshire,Other,"Dog use, of which",79.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,93.0
Northamptonshire,Other,Dog deployed,66.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0
Northamptonshire,Other,Dog bite,13.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0
Northamptonshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other,Other / improvised,568.0,79.0,2.0,0.0,20.0,3.0,5.0,0.0,677.0
Northamptonshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Tactical communication,Tactical communication,2628.0,304.0,46.0,1.0,98.0,14.0,13.0,0.0,3104.0
Northumbria,Total (excluding not reported and tactical communication),*Total Tactics,25171.0,701.0,519.0,10.0,182.0,109.0,20.0,0.0,26712.0
Northumbria,Restraint,*Total Restraint,18614.0,508.0,405.0,10.0,133.0,90.0,14.0,0.0,19774.0
Northumbria,Restraint,"Handcuffing, of which",14673.0,400.0,346.0,10.0,106.0,83.0,8.0,0.0,15626.0
Northumbria,Restraint,Compliant handcuffing,10607.0,276.0,278.0,9.0,81.0,75.0,4.0,0.0,11330.0
Northumbria,Restraint,Non-compliant handcuffing,4066.0,124.0,68.0,1.0,25.0,8.0,4.0,0.0,4296.0
Northumbria,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Restraint,Limb / Body restraints,487.0,18.0,8.0,0.0,4.0,0.0,1.0,0.0,518.0
Northumbria,Restraint,Ground restraint,3454.0,90.0,51.0,0.0,23.0,7.0,5.0,0.0,3630.0
Northumbria,Unarmed skills,*Total Unarmed skills,4769.0,126.0,78.0,0.0,40.0,13.0,4.0,0.0,5030.0
Northumbria,Other equipment,*Total Other equipment,739.0,41.0,17.0,0.0,4.0,2.0,1.0,0.0,804.0
Northumbria,Other equipment,"Baton, of which",193.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,215.0
Northumbria,Other equipment,Baton drawn,150.0,9.0,5.0,0.0,2.0,0.0,0.0,0.0,166.0
Northumbria,Other equipment,Baton used,43.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0
Northumbria,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Other equipment,"Irritant spray, of which",280.0,16.0,5.0,0.0,0.0,1.0,0.0,0.0,302.0
Northumbria,Other equipment,Irritant spray - drawn,135.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,147.0
Northumbria,Other equipment,Irritant spray - used,145.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,155.0
Northumbria,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Other equipment,Spit and bite guard,241.0,11.0,4.0,0.0,2.0,0.0,1.0,0.0,259.0
Northumbria,Other equipment,Shield,25.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0
Northumbria,Less lethal weapons,*Total Less lethal weapons,274.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,284.0
Northumbria,Less lethal weapons,CED,235.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,242.0
Northumbria,Less lethal weapons,"AEP, of which",39.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0
Northumbria,Less lethal weapons,AEP aimed,39.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0
Northumbria,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Firearms,*Total Firearms,128.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,138.0
Northumbria,Other,*Total Other,647.0,16.0,13.0,0.0,2.0,3.0,1.0,0.0,682.0
Northumbria,Other,"Dog use, of which",132.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,137.0
Northumbria,Other,Dog deployed,104.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,108.0
Northumbria,Other,Dog bite,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0
Northumbria,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Other,Other / improvised,515.0,14.0,12.0,0.0,2.0,1.0,1.0,0.0,545.0
Northumbria,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumbria,Tactical communication,Tactical communication,15186.0,408.0,346.0,10.0,117.0,90.0,7.0,0.0,16164.0
Nottinghamshire,Total (excluding not reported and tactical communication),*Total Tactics,5453.0,704.0,276.0,6.0,300.0,65.0,33.0,0.0,6837.0
Nottinghamshire,Restraint,*Total Restraint,3180.0,436.0,186.0,4.0,176.0,48.0,17.0,0.0,4047.0
Nottinghamshire,Restraint,"Handcuffing, of which",2990.0,426.0,177.0,4.0,168.0,48.0,15.0,0.0,3828.0
Nottinghamshire,Restraint,Compliant handcuffing,1562.0,224.0,114.0,2.0,97.0,40.0,10.0,0.0,2049.0
Nottinghamshire,Restraint,Non-compliant handcuffing,1428.0,202.0,63.0,2.0,71.0,8.0,5.0,0.0,1779.0
Nottinghamshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Restraint,Limb / Body restraints,190.0,10.0,9.0,0.0,8.0,0.0,2.0,0.0,219.0
Nottinghamshire,Restraint,Ground restraint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Unarmed skills,*Total Unarmed skills,1347.0,162.0,57.0,2.0,64.0,11.0,11.0,0.0,1654.0
Nottinghamshire,Other equipment,*Total Other equipment,191.0,26.0,8.0,0.0,18.0,3.0,1.0,0.0,247.0
Nottinghamshire,Other equipment,"Baton, of which",71.0,13.0,4.0,0.0,8.0,2.0,1.0,0.0,99.0
Nottinghamshire,Other equipment,Baton drawn,43.0,11.0,2.0,0.0,4.0,2.0,1.0,0.0,63.0
Nottinghamshire,Other equipment,Baton used,28.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,36.0
Nottinghamshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Other equipment,"Irritant spray, of which",93.0,12.0,2.0,0.0,9.0,1.0,0.0,0.0,117.0
Nottinghamshire,Other equipment,Irritant spray - drawn,46.0,9.0,2.0,0.0,4.0,1.0,0.0,0.0,62.0
Nottinghamshire,Other equipment,Irritant spray - used,47.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,55.0
Nottinghamshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Other equipment,Spit and bite guard,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0
Nottinghamshire,Other equipment,Shield,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
Nottinghamshire,Less lethal weapons,*Total Less lethal weapons,158.0,30.0,4.0,0.0,9.0,0.0,1.0,0.0,202.0
Nottinghamshire,Less lethal weapons,CED,154.0,29.0,4.0,0.0,9.0,0.0,1.0,0.0,197.0
Nottinghamshire,Less lethal weapons,"AEP, of which",4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Nottinghamshire,Less lethal weapons,AEP aimed,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nottinghamshire,Less lethal weapons,AEP fired,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Nottinghamshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Firearms,*Total Firearms,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Nottinghamshire,Other,*Total Other,574.0,46.0,21.0,0.0,33.0,3.0,3.0,0.0,680.0
Nottinghamshire,Other,"Dog use, of which",30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,34.0
Nottinghamshire,Other,Dog deployed,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0
Nottinghamshire,Other,Dog bite,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0
Nottinghamshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Other,Other / improvised,544.0,46.0,21.0,0.0,29.0,3.0,3.0,0.0,646.0
Nottinghamshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottinghamshire,Tactical communication,Tactical communication,1954.0,256.0,85.0,2.0,101.0,21.0,10.0,0.0,2429.0
South Wales,Total (excluding not reported and tactical communication),*Total Tactics,24044.0,1520.0,715.0,14.0,679.0,214.0,150.0,0.0,27336.0
South Wales,Restraint,*Total Restraint,16880.0,988.0,521.0,12.0,450.0,162.0,107.0,0.0,19120.0
South Wales,Restraint,"Handcuffing, of which",14391.0,831.0,463.0,10.0,376.0,145.0,89.0,0.0,16305.0
South Wales,Restraint,Compliant handcuffing,9982.0,555.0,361.0,8.0,266.0,113.0,61.0,0.0,11346.0
South Wales,Restraint,Non-compliant handcuffing,4409.0,276.0,102.0,2.0,110.0,32.0,28.0,0.0,4959.0
South Wales,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Wales,Restraint,Limb / Body restraints,416.0,27.0,12.0,0.0,15.0,2.0,2.0,0.0,474.0
South Wales,Restraint,Ground restraint,2073.0,130.0,46.0,2.0,59.0,15.0,16.0,0.0,2341.0
South Wales,Unarmed skills,*Total Unarmed skills,5223.0,327.0,133.0,2.0,149.0,35.0,26.0,0.0,5895.0
South Wales,Other equipment,*Total Other equipment,474.0,25.0,11.0,0.0,11.0,3.0,1.0,0.0,525.0
South Wales,Other equipment,"Baton, of which",94.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,102.0
South Wales,Other equipment,Baton drawn,61.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,67.0
South Wales,Other equipment,Baton used,33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0
South Wales,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Wales,Other equipment,"Irritant spray, of which",197.0,9.0,8.0,0.0,7.0,2.0,0.0,0.0,223.0
South Wales,Other equipment,Irritant spray - drawn,111.0,3.0,6.0,0.0,3.0,1.0,0.0,0.0,124.0
South Wales,Other equipment,Irritant spray - used,86.0,6.0,2.0,0.0,4.0,1.0,0.0,0.0,99.0
South Wales,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Wales,Other equipment,Spit and bite guard,176.0,12.0,3.0,0.0,2.0,0.0,0.0,0.0,193.0
South Wales,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
South Wales,Less lethal weapons,*Total Less lethal weapons,413.0,71.0,11.0,0.0,28.0,6.0,1.0,0.0,530.0
South Wales,Less lethal weapons,CED,362.0,63.0,9.0,0.0,26.0,6.0,1.0,0.0,467.0
South Wales,Less lethal weapons,"AEP, of which",51.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,63.0
South Wales,Less lethal weapons,AEP aimed,48.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,60.0
South Wales,Less lethal weapons,AEP fired,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
South Wales,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Wales,Firearms,*Total Firearms,94.0,21.0,7.0,0.0,2.0,3.0,2.0,0.0,129.0
South Wales,Other,*Total Other,960.0,88.0,32.0,0.0,39.0,5.0,13.0,0.0,1137.0
South Wales,Other,"Dog use, of which",94.0,9.0,4.0,0.0,7.0,0.0,3.0,0.0,117.0
South Wales,Other,Dog deployed,88.0,9.0,4.0,0.0,7.0,0.0,2.0,0.0,110.0
South Wales,Other,Dog bite,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
South Wales,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Wales,Other,Other / improvised,866.0,79.0,28.0,0.0,32.0,5.0,10.0,0.0,1020.0
South Wales,Not reported,*Total Not reported,43.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,49.0
South Wales,Tactical communication,Tactical communication,9681.0,581.0,296.0,5.0,290.0,80.0,61.0,0.0,10994.0
South Yorkshire,Total (excluding not reported and tactical communication),*Total Tactics,10034.0,760.0,474.0,25.0,207.0,129.0,127.0,0.0,11756.0
South Yorkshire,Restraint,*Total Restraint,4275.0,320.0,202.0,13.0,104.0,57.0,39.0,0.0,5010.0
South Yorkshire,Restraint,"Handcuffing, of which",3099.0,231.0,161.0,9.0,68.0,47.0,24.0,0.0,3639.0
South Yorkshire,Restraint,Compliant handcuffing,1186.0,100.0,70.0,3.0,27.0,26.0,8.0,0.0,1420.0
South Yorkshire,Restraint,Non-compliant handcuffing,1913.0,131.0,91.0,6.0,41.0,21.0,16.0,0.0,2219.0
South Yorkshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Restraint,Limb / Body restraints,275.0,23.0,11.0,0.0,8.0,4.0,3.0,0.0,324.0
South Yorkshire,Restraint,Ground restraint,901.0,66.0,30.0,4.0,28.0,6.0,12.0,0.0,1047.0
South Yorkshire,Unarmed skills,*Total Unarmed skills,3821.0,269.0,177.0,9.0,72.0,44.0,45.0,0.0,4437.0
South Yorkshire,Other equipment,*Total Other equipment,727.0,60.0,26.0,1.0,10.0,17.0,31.0,0.0,872.0
South Yorkshire,Other equipment,"Baton, of which",233.0,11.0,10.0,0.0,5.0,12.0,24.0,0.0,295.0
South Yorkshire,Other equipment,Baton drawn,140.0,8.0,7.0,0.0,3.0,9.0,15.0,0.0,182.0
South Yorkshire,Other equipment,Baton used,93.0,3.0,3.0,0.0,2.0,3.0,9.0,0.0,113.0
South Yorkshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Other equipment,"Irritant spray, of which",405.0,33.0,11.0,1.0,5.0,3.0,6.0,0.0,464.0
South Yorkshire,Other equipment,Irritant spray - drawn,136.0,13.0,7.0,0.0,0.0,2.0,3.0,0.0,161.0
South Yorkshire,Other equipment,Irritant spray - used,269.0,20.0,4.0,1.0,5.0,1.0,3.0,0.0,303.0
South Yorkshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Other equipment,Spit and bite guard,83.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,101.0
South Yorkshire,Other equipment,Shield,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0
South Yorkshire,Less lethal weapons,*Total Less lethal weapons,441.0,29.0,26.0,0.0,7.0,6.0,6.0,0.0,515.0
South Yorkshire,Less lethal weapons,CED,438.0,28.0,25.0,0.0,7.0,6.0,6.0,0.0,510.0
South Yorkshire,Less lethal weapons,"AEP, of which",3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
South Yorkshire,Less lethal weapons,AEP aimed,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
South Yorkshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Firearms,*Total Firearms,34.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,48.0
South Yorkshire,Other,*Total Other,736.0,74.0,39.0,2.0,12.0,5.0,6.0,0.0,874.0
South Yorkshire,Other,"Dog use, of which",75.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,94.0
South Yorkshire,Other,Dog deployed,49.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,60.0
South Yorkshire,Other,Dog bite,26.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,34.0
South Yorkshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Other,Other / improvised,661.0,69.0,26.0,2.0,11.0,5.0,6.0,0.0,780.0
South Yorkshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Yorkshire,Tactical communication,Tactical communication,3358.0,236.0,158.0,7.0,54.0,32.0,45.0,0.0,3890.0
Staffordshire,Total (excluding not reported and tactical communication),*Total Tactics,5264.0,219.0,179.0,1.0,125.0,24.0,18.0,0.0,5830.0
Staffordshire,Restraint,*Total Restraint,3031.0,130.0,105.0,1.0,73.0,11.0,7.0,0.0,3358.0
Staffordshire,Restraint,"Handcuffing, of which",1823.0,86.0,84.0,1.0,43.0,7.0,3.0,0.0,2047.0
Staffordshire,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Restraint,Not stated handcuffing,1823.0,86.0,84.0,1.0,43.0,7.0,3.0,0.0,2047.0
Staffordshire,Restraint,Limb / Body restraints,243.0,9.0,1.0,0.0,6.0,1.0,0.0,0.0,260.0
Staffordshire,Restraint,Ground restraint,965.0,35.0,20.0,0.0,24.0,3.0,4.0,0.0,1051.0
Staffordshire,Unarmed skills,*Total Unarmed skills,1486.0,58.0,37.0,0.0,34.0,6.0,3.0,0.0,1624.0
Staffordshire,Other equipment,*Total Other equipment,547.0,13.0,30.0,0.0,13.0,3.0,4.0,0.0,610.0
Staffordshire,Other equipment,"Baton, of which",94.0,3.0,8.0,0.0,5.0,2.0,1.0,0.0,113.0
Staffordshire,Other equipment,Baton drawn,52.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,63.0
Staffordshire,Other equipment,Baton used,42.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,50.0
Staffordshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Other equipment,"Irritant spray, of which",365.0,8.0,21.0,0.0,5.0,1.0,2.0,0.0,402.0
Staffordshire,Other equipment,Irritant spray - drawn,181.0,3.0,11.0,0.0,2.0,0.0,1.0,0.0,198.0
