Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Mental,969.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Mental,799.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Mental,352.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Mental,447.0
Handcuffing not stated,Dyfed-Powys,,,Mental,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Mental,63.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Mental,107.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Mental,657.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Mental,52.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Mental,9.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Mental,7.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Mental,2.0
Baton not stated,Dyfed-Powys,,,Mental,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Mental,23.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Mental,7.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Mental,16.0
Irritant spray not stated,Dyfed-Powys,,,Mental,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Mental,18.0
Shield,Dyfed-Powys,Other equipment,Shield,Mental,2.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Mental,148.0
CED of which,Dyfed-Powys,,,Mental,139.0
CED non-discharge,Dyfed-Powys,,,Mental,119.0
CED discharge,Dyfed-Powys,,,Mental,20.0
CED not stated,Dyfed-Powys,,,Mental,0.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Mental,9.0
AEP drawn,Dyfed-Powys,,,Mental,9.0
AEP used,Dyfed-Powys,,,Mental,0.0
AEP not stated,Dyfed-Powys,,,Mental,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Mental,24.0
*Total Other,Dyfed-Powys,Other,Total: Other,Mental,69.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Mental,4.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Mental,4.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Mental,0.0
Dog not stated,Dyfed-Powys,,,Mental,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Mental,65.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Mental,886.0
*Total Tactics,Essex,Total,Total: all,Mental,2010.0
*Total Restraint,Essex,Restraint,Total: Restraint,Mental,1281.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Mental,668.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Mental,252.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Mental,416.0
Handcuffing not stated,Essex,,,Mental,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Mental,207.0
Ground restraint,Essex,Restraint,Ground restraint,Mental,406.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Mental,402.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Mental,62.0
"Baton, of which",Essex,Other equipment,Total: Baton,Mental,8.0
Baton drawn,Essex,Other equipment,Baton: drawn,Mental,7.0
Baton used,Essex,Other equipment,Baton: used,Mental,1.0
Baton not stated,Essex,,,Mental,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Mental,14.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Mental,11.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Mental,3.0
Irritant spray not stated,Essex,,,Mental,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Mental,31.0
Shield,Essex,Other equipment,Shield,Mental,9.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Mental,45.0
CED of which,Essex,,,Mental,45.0
CED non-discharge,Essex,,,Mental,37.0
CED discharge,Essex,,,Mental,4.0
CED not stated,Essex,,,Mental,4.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Essex,,,Mental,0.0
AEP used,Essex,,,Mental,0.0
AEP not stated,Essex,,,Mental,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Mental,4.0
*Total Other,Essex,Other,Total: Other,Mental,216.0
"Dog use, of which",Essex,Other,Total: Dog,Mental,4.0
Dog deployed,Essex,Other,Dog: deployed,Mental,3.0
Dog bite,Essex,Other,Dog: bite,Mental,1.0
Dog not stated,Essex,,,Mental,0.0
Other / improvised,Essex,Other,Other / improvised,Mental,212.0
*Total Not reported,Essex,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Mental,519.0
*Total Tactics,Gloucestershire,Total,Total: all,Mental,170.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Mental,100.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Mental,68.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Mental,33.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Mental,35.0
Handcuffing not stated,Gloucestershire,,,Mental,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Mental,5.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Mental,27.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Mental,32.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Mental,17.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Mental,4.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Mental,2.0
Baton used,Gloucestershire,Other equipment,Baton: used,Mental,2.0
Baton not stated,Gloucestershire,,,Mental,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Mental,6.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Mental,4.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Mental,2.0
Irritant spray not stated,Gloucestershire,,,Mental,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Mental,4.0
Shield,Gloucestershire,Other equipment,Shield,Mental,3.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Mental,13.0
CED of which,Gloucestershire,,,Mental,12.0
CED non-discharge,Gloucestershire,,,Mental,8.0
CED discharge,Gloucestershire,,,Mental,2.0
CED not stated,Gloucestershire,,,Mental,2.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Mental,1.0
AEP drawn,Gloucestershire,,,Mental,1.0
AEP used,Gloucestershire,,,Mental,0.0
AEP not stated,Gloucestershire,,,Mental,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Mental,2.0
*Total Other,Gloucestershire,Other,Total: Other,Mental,6.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Mental,2.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Mental,2.0
Dog bite,Gloucestershire,Other,Dog: bite,Mental,0.0
Dog not stated,Gloucestershire,,,Mental,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Mental,4.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,Mental,76.0
*Total Tactics,Greater Manchester,Total,Total: all,Mental,1770.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,Mental,1122.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,Mental,461.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,Mental,131.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,Mental,330.0
Handcuffing not stated,Greater Manchester,,,Mental,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,Mental,376.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,Mental,285.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,Mental,369.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,Mental,75.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,Mental,11.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,Mental,8.0
Baton used,Greater Manchester,Other equipment,Baton: used,Mental,3.0
Baton not stated,Greater Manchester,,,Mental,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,Mental,23.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,Mental,14.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,Mental,9.0
Irritant spray not stated,Greater Manchester,,,Mental,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,Mental,6.0
Shield,Greater Manchester,Other equipment,Shield,Mental,35.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,Mental,166.0
CED of which,Greater Manchester,,,Mental,166.0
CED non-discharge,Greater Manchester,,,Mental,132.0
CED discharge,Greater Manchester,,,Mental,26.0
CED not stated,Greater Manchester,,,Mental,8.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Greater Manchester,,,Mental,0.0
AEP used,Greater Manchester,,,Mental,0.0
AEP not stated,Greater Manchester,,,Mental,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,Mental,3.0
*Total Other,Greater Manchester,Other,Total: Other,Mental,35.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,Mental,0.0
Dog deployed,Greater Manchester,Other,Dog: deployed,Mental,0.0
Dog bite,Greater Manchester,Other,Dog: bite,Mental,0.0
Dog not stated,Greater Manchester,,,Mental,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,Mental,35.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,Mental,7.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,Mental,725.0
*Total Tactics,Gwent,Total,Total: all,Mental,573.0
*Total Restraint,Gwent,Restraint,Total: Restraint,Mental,303.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,Mental,238.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,Mental,122.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,Mental,116.0
Handcuffing not stated,Gwent,,,Mental,0.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,Mental,1.0
Ground restraint,Gwent,Restraint,Ground restraint,Mental,64.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,Mental,175.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,Mental,36.0
"Baton, of which",Gwent,Other equipment,Total: Baton,Mental,1.0
Baton drawn,Gwent,Other equipment,Baton: drawn,Mental,1.0
Baton used,Gwent,Other equipment,Baton: used,Mental,0.0
Baton not stated,Gwent,,,Mental,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,Mental,23.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,Mental,8.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,Mental,15.0
Irritant spray not stated,Gwent,,,Mental,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,Mental,12.0
Shield,Gwent,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,Mental,26.0
CED of which,Gwent,,,Mental,24.0
CED non-discharge,Gwent,,,Mental,17.0
CED discharge,Gwent,,,Mental,0.0
CED not stated,Gwent,,,Mental,7.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,Mental,2.0
AEP drawn,Gwent,,,Mental,2.0
AEP used,Gwent,,,Mental,0.0
AEP not stated,Gwent,,,Mental,0.0
*Total Firearms,Gwent,Firearms,Total: Firearms,Mental,5.0
*Total Other,Gwent,Other,Total: Other,Mental,28.0
"Dog use, of which",Gwent,Other,Total: Dog,Mental,1.0
Dog deployed,Gwent,Other,Dog: deployed,Mental,1.0
Dog bite,Gwent,Other,Dog: bite,Mental,0.0
Dog not stated,Gwent,,,Mental,0.0
Other / improvised,Gwent,Other,Other / improvised,Mental,27.0
*Total Not reported,Gwent,Not reported,Total: Not reported,Mental,12.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,Mental,168.0
*Total Tactics,Hampshire,Total,Total: all,Mental,786.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,Mental,476.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,Mental,234.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,Mental,45.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,Mental,189.0
Handcuffing not stated,Hampshire,,,Mental,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,Mental,71.0
Ground restraint,Hampshire,Restraint,Ground restraint,Mental,171.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,Mental,224.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,Mental,29.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,Mental,3.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,Mental,2.0
Baton used,Hampshire,Other equipment,Baton: used,Mental,1.0
Baton not stated,Hampshire,,,Mental,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,Mental,12.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,Mental,5.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,Mental,7.0
Irritant spray not stated,Hampshire,,,Mental,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,Mental,10.0
Shield,Hampshire,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,Hampshire,Less lethal weapons,Total: Less lethal weapons,Mental,33.0
CED of which,Hampshire,,,Mental,33.0
CED non-discharge,Hampshire,,,Mental,26.0
CED discharge,Hampshire,,,Mental,5.0
CED not stated,Hampshire,,,Mental,2.0
"AEP, of which",Hampshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Hampshire,,,Mental,0.0
AEP used,Hampshire,,,Mental,0.0
AEP not stated,Hampshire,,,Mental,0.0
*Total Firearms,Hampshire,Firearms,Total: Firearms,Mental,1.0
*Total Other,Hampshire,Other,Total: Other,Mental,23.0
"Dog use, of which",Hampshire,Other,Total: Dog,Mental,0.0
Dog deployed,Hampshire,Other,Dog: deployed,Mental,0.0
Dog bite,Hampshire,Other,Dog: bite,Mental,0.0
Dog not stated,Hampshire,,,Mental,0.0
Other / improvised,Hampshire,Other,Other / improvised,Mental,23.0
*Total Not reported,Hampshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Hampshire,Excluded: Tactical Communication,Tactical Communication,Mental,350.0
*Total Tactics,Hertfordshire,Total,Total: all,Mental,1916.0
*Total Restraint,Hertfordshire,Restraint,Total: Restraint,Mental,1028.0
"Handcuffing, of which",Hertfordshire,Restraint,Total: Handcuffing,Mental,653.0
Compliant handcuffing,Hertfordshire,Restraint,Handcuffing: compliant,Mental,310.0
Non-compliant handcuffing,Hertfordshire,Restraint,Handcuffing: non-compliant,Mental,343.0
Handcuffing not stated,Hertfordshire,,,Mental,0.0
Limb / Body restraints,Hertfordshire,Restraint,Limb / body restraints,Mental,149.0
Ground restraint,Hertfordshire,Restraint,Ground restraint,Mental,226.0
*Total Unarmed skills,Hertfordshire,Unarmed skills,Total: unarmed skills,Mental,657.0
*Total Other equipment,Hertfordshire,Other equipment,Total: Other equipment,Mental,122.0
"Baton, of which",Hertfordshire,Other equipment,Total: Baton,Mental,16.0
Baton drawn,Hertfordshire,Other equipment,Baton: drawn,Mental,12.0
Baton used,Hertfordshire,Other equipment,Baton: used,Mental,4.0
Baton not stated,Hertfordshire,,,Mental,0.0
"Irritant spray, of which",Hertfordshire,Other equipment,Total: Irritant spray,Mental,67.0
Irritant spray - drawn,Hertfordshire,Other equipment,Irritant spray: drawn,Mental,36.0
Irritant spray - used,Hertfordshire,Other equipment,Irritant spray: used,Mental,31.0
Irritant spray not stated,Hertfordshire,,,Mental,0.0
Spit and bite guard,Hertfordshire,Other equipment,Spit and bite guard,Mental,30.0
Shield,Hertfordshire,Other equipment,Shield,Mental,9.0
*Total Less lethal weapons,Hertfordshire,Less lethal weapons,Total: Less lethal weapons,Mental,69.0
CED of which,Hertfordshire,,,Mental,69.0
CED non-discharge,Hertfordshire,,,Mental,56.0
CED discharge,Hertfordshire,,,Mental,13.0
CED not stated,Hertfordshire,,,Mental,0.0
"AEP, of which",Hertfordshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Hertfordshire,,,Mental,0.0
AEP used,Hertfordshire,,,Mental,0.0
AEP not stated,Hertfordshire,,,Mental,0.0
*Total Firearms,Hertfordshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Hertfordshire,Other,Total: Other,Mental,40.0
"Dog use, of which",Hertfordshire,Other,Total: Dog,Mental,0.0
Dog deployed,Hertfordshire,Other,Dog: deployed,Mental,0.0
Dog bite,Hertfordshire,Other,Dog: bite,Mental,0.0
Dog not stated,Hertfordshire,,,Mental,0.0
Other / improvised,Hertfordshire,Other,Other / improvised,Mental,40.0
*Total Not reported,Hertfordshire,Not reported,Total: Not reported,Mental,3.0
Tactical communication,Hertfordshire,Excluded: Tactical Communication,Tactical Communication,Mental,1015.0
*Total Tactics,Humberside,Total,Total: all,Mental,829.0
*Total Restraint,Humberside,Restraint,Total: Restraint,Mental,412.0
"Handcuffing, of which",Humberside,Restraint,Total: Handcuffing,Mental,276.0
Compliant handcuffing,Humberside,Restraint,Handcuffing: compliant,Mental,103.0
Non-compliant handcuffing,Humberside,Restraint,Handcuffing: non-compliant,Mental,173.0
Handcuffing not stated,Humberside,,,Mental,0.0
Limb / Body restraints,Humberside,Restraint,Limb / body restraints,Mental,56.0
Ground restraint,Humberside,Restraint,Ground restraint,Mental,80.0
*Total Unarmed skills,Humberside,Unarmed skills,Total: unarmed skills,Mental,241.0
*Total Other equipment,Humberside,Other equipment,Total: Other equipment,Mental,44.0
"Baton, of which",Humberside,Other equipment,Total: Baton,Mental,1.0
Baton drawn,Humberside,Other equipment,Baton: drawn,Mental,0.0
Baton used,Humberside,Other equipment,Baton: used,Mental,1.0
Baton not stated,Humberside,,,Mental,0.0
"Irritant spray, of which",Humberside,Other equipment,Total: Irritant spray,Mental,12.0
Irritant spray - drawn,Humberside,Other equipment,Irritant spray: drawn,Mental,7.0
Irritant spray - used,Humberside,Other equipment,Irritant spray: used,Mental,5.0
Irritant spray not stated,Humberside,,,Mental,0.0
Spit and bite guard,Humberside,Other equipment,Spit and bite guard,Mental,26.0
Shield,Humberside,Other equipment,Shield,Mental,5.0
