Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
*Total Firearms,Devon & Cornwall ,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Devon & Cornwall ,Other,Total: Other,Under 11 years,1.0
"Dog use, of which",Devon & Cornwall ,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Devon & Cornwall ,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Devon & Cornwall ,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Devon & Cornwall ,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Devon & Cornwall ,Other,Other / improvised,Under 11 years,1.0
*Total Not reported,Devon & Cornwall ,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Devon & Cornwall ,Excluded: Tactical Communication,Tactical Communication,Under 11 years,12.0
*Total Tactics,Dorset,Total,Total: all,Under 11 years,20.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Under 11 years,15.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Under 11 years,9.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Under 11 years,9.0
Not stated handcuffing,Dorset,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Under 11 years,1.0
Ground restraint,Dorset,Restraint,Ground restraint,Under 11 years,5.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Under 11 years,5.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Dorset,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Dorset,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Dorset,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Dorset,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Dorset,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Dorset,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Dorset,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Dorset,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Dorset,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Dorset,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Dorset,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Dorset,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Dorset,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Dorset,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Under 11 years,0.0
*Total Tactics,Durham,Total,Total: all,Under 11 years,12.0
*Total Restraint,Durham,Restraint,Total: Restraint,Under 11 years,5.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Not stated handcuffing,Durham,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Durham,Restraint,Ground restraint,Under 11 years,5.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Under 11 years,7.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Durham,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Durham,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Durham,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Durham,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Durham,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Durham,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Durham,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Durham,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Durham,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Durham,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Durham,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Durham,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Durham,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Durham,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Durham,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Durham,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Durham,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Under 11 years,8.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Under 11 years,20.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Under 11 years,5.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Under 11 years,5.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Under 11 years,2.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Under 11 years,3.0
Not stated handcuffing,Dyfed-Powys,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Under 11 years,8.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Dyfed-Powys,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Dyfed-Powys,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Dyfed-Powys,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Under 11 years,2.0
CED,Dyfed-Powys,Less lethal weapons,CED,Under 11 years,2.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Dyfed-Powys,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Dyfed-Powys,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Dyfed-Powys,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Dyfed-Powys,Other,Total: Other,Under 11 years,5.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Dyfed-Powys,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Under 11 years,5.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Under 11 years,8.0
*Total Tactics,Essex,Total,Total: all,Under 11 years,42.0
*Total Restraint,Essex,Restraint,Total: Restraint,Under 11 years,18.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Under 11 years,12.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Under 11 years,9.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Under 11 years,3.0
Not stated handcuffing,Essex,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Under 11 years,2.0
Ground restraint,Essex,Restraint,Ground restraint,Under 11 years,4.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Under 11 years,12.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Essex,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Essex,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Essex,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Essex,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Essex,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Essex,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Under 11 years,1.0
CED,Essex,Less lethal weapons,CED,Under 11 years,1.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Essex,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Essex,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Essex,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Essex,Other,Total: Other,Under 11 years,11.0
"Dog use, of which",Essex,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Essex,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Essex,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Essex,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Essex,Other,Other / improvised,Under 11 years,11.0
*Total Not reported,Essex,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Under 11 years,16.0
*Total Tactics,Gloucestershire,Total,Total: all,Under 11 years,37.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Under 11 years,23.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Under 11 years,12.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Under 11 years,7.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Under 11 years,5.0
Not stated handcuffing,Gloucestershire,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Under 11 years,5.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Under 11 years,6.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Under 11 years,6.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Under 11 years,4.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Gloucestershire,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Gloucestershire,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Under 11 years,3.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Under 11 years,1.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Under 11 years,2.0
Not stated irritant spray,Gloucestershire,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Under 11 years,1.0
Shield,Gloucestershire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,2.0
CED,Gloucestershire,Less lethal weapons,CED,Under 11 years,2.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Gloucestershire,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Gloucestershire,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Gloucestershire,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Gloucestershire,Other,Total: Other,Under 11 years,2.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Gloucestershire,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Gloucestershire,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Under 11 years,2.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,17.0
*Total Tactics,Greater Manchester,Total,Total: all,Under 11 years,14.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,Under 11 years,5.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,Under 11 years,1.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,Under 11 years,1.0
Not stated handcuffing,Greater Manchester,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,Under 11 years,3.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,Under 11 years,1.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,Under 11 years,1.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Greater Manchester,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Greater Manchester,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Greater Manchester,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Greater Manchester,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,Under 11 years,8.0
CED,Greater Manchester,Less lethal weapons,CED,Under 11 years,8.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Greater Manchester,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Greater Manchester,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Greater Manchester,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Greater Manchester,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Greater Manchester,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Greater Manchester,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Greater Manchester,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,Under 11 years,0.0
