Tactic,Police Force,Force type - Output,Tactic - Output,age,count
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Under 11 years,4.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Under 11 years,4.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Durham,,,Under 11 years,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Under 11 years,1.0
Ground restraint,Durham,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Under 11 years,3.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Durham,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Durham,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Durham,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Durham,,,Under 11 years,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Durham,,,Under 11 years,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Durham,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Under 11 years,1.0
CED of which,Durham,,,Under 11 years,1.0
CED non-discharge,Durham,,,Under 11 years,1.0
CED discharge,Durham,,,Under 11 years,0.0
CED not stated,Durham,,,Under 11 years,0.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Durham,,,Under 11 years,0.0
AEP used,Durham,,,Under 11 years,0.0
AEP not stated,Durham,,,Under 11 years,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Durham,Other,Total: Other,Under 11 years,2.0
"Dog use, of which",Durham,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Durham,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Durham,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Durham,,,Under 11 years,0.0
Other / improvised,Durham,Other,Other / improvised,Under 11 years,2.0
*Total Not reported,Durham,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Under 11 years,0.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Under 11 years,14.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Under 11 years,2.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Under 11 years,1.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Under 11 years,1.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Dyfed-Powys,,,Under 11 years,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Under 11 years,1.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Under 11 years,8.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Dyfed-Powys,,,Under 11 years,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Dyfed-Powys,,,Under 11 years,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Dyfed-Powys,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Under 11 years,1.0
CED of which,Dyfed-Powys,,,Under 11 years,1.0
CED non-discharge,Dyfed-Powys,,,Under 11 years,1.0
CED discharge,Dyfed-Powys,,,Under 11 years,0.0
CED not stated,Dyfed-Powys,,,Under 11 years,0.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Dyfed-Powys,,,Under 11 years,0.0
AEP used,Dyfed-Powys,,,Under 11 years,0.0
AEP not stated,Dyfed-Powys,,,Under 11 years,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Dyfed-Powys,Other,Total: Other,Under 11 years,3.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Dyfed-Powys,,,Under 11 years,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Under 11 years,3.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Under 11 years,10.0
*Total Tactics,Essex,Total,Total: all,Under 11 years,170.0
*Total Restraint,Essex,Restraint,Total: Restraint,Under 11 years,115.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Under 11 years,73.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Under 11 years,48.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Under 11 years,25.0
Handcuffing not stated,Essex,,,Under 11 years,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Under 11 years,11.0
Ground restraint,Essex,Restraint,Ground restraint,Under 11 years,31.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Under 11 years,24.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Under 11 years,5.0
"Baton, of which",Essex,Other equipment,Total: Baton,Under 11 years,3.0
Baton drawn,Essex,Other equipment,Baton: drawn,Under 11 years,3.0
Baton used,Essex,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Essex,,,Under 11 years,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Under 11 years,1.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Under 11 years,1.0
Irritant spray not stated,Essex,,,Under 11 years,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Under 11 years,1.0
Shield,Essex,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Essex,,,Under 11 years,0.0
CED non-discharge,Essex,,,Under 11 years,0.0
CED discharge,Essex,,,Under 11 years,0.0
CED not stated,Essex,,,Under 11 years,0.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Essex,,,Under 11 years,0.0
AEP used,Essex,,,Under 11 years,0.0
AEP not stated,Essex,,,Under 11 years,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Essex,Other,Total: Other,Under 11 years,26.0
"Dog use, of which",Essex,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Essex,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Essex,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Essex,,,Under 11 years,0.0
Other / improvised,Essex,Other,Other / improvised,Under 11 years,26.0
*Total Not reported,Essex,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Under 11 years,34.0
*Total Tactics,Gloucestershire,Total,Total: all,Under 11 years,0.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Gloucestershire,,,Under 11 years,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Under 11 years,0.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Gloucestershire,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Gloucestershire,,,Under 11 years,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Gloucestershire,,,Under 11 years,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Gloucestershire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Gloucestershire,,,Under 11 years,0.0
CED non-discharge,Gloucestershire,,,Under 11 years,0.0
CED discharge,Gloucestershire,,,Under 11 years,0.0
CED not stated,Gloucestershire,,,Under 11 years,0.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Gloucestershire,,,Under 11 years,0.0
AEP used,Gloucestershire,,,Under 11 years,0.0
AEP not stated,Gloucestershire,,,Under 11 years,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Gloucestershire,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Gloucestershire,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Gloucestershire,,,Under 11 years,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,0.0
*Total Tactics,Greater Manchester,Total,Total: all,Under 11 years,45.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,Under 11 years,7.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,Under 11 years,2.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,Under 11 years,2.0
Handcuffing not stated,Greater Manchester,,,Under 11 years,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,Under 11 years,4.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,Under 11 years,1.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,Under 11 years,13.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,Under 11 years,10.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,Under 11 years,4.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,Under 11 years,4.0
Baton used,Greater Manchester,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Greater Manchester,,,Under 11 years,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,Under 11 years,3.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,Under 11 years,2.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,Under 11 years,1.0
Irritant spray not stated,Greater Manchester,,,Under 11 years,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Greater Manchester,Other equipment,Shield,Under 11 years,3.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,Under 11 years,11.0
CED of which,Greater Manchester,,,Under 11 years,11.0
CED non-discharge,Greater Manchester,,,Under 11 years,5.0
CED discharge,Greater Manchester,,,Under 11 years,0.0
CED not stated,Greater Manchester,,,Under 11 years,6.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Greater Manchester,,,Under 11 years,0.0
AEP used,Greater Manchester,,,Under 11 years,0.0
AEP not stated,Greater Manchester,,,Under 11 years,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Greater Manchester,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Greater Manchester,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Greater Manchester,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Greater Manchester,,,Under 11 years,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,Under 11 years,1.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,Under 11 years,22.0
*Total Tactics,Gwent,Total,Total: all,Under 11 years,11.0
*Total Restraint,Gwent,Restraint,Total: Restraint,Under 11 years,4.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,Under 11 years,2.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,Under 11 years,2.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Gwent,,,Under 11 years,0.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Gwent,Restraint,Ground restraint,Under 11 years,2.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,Under 11 years,6.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Gwent,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Gwent,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Gwent,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Gwent,,,Under 11 years,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Gwent,,,Under 11 years,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Gwent,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Gwent,,,Under 11 years,0.0
CED non-discharge,Gwent,,,Under 11 years,0.0
CED discharge,Gwent,,,Under 11 years,0.0
CED not stated,Gwent,,,Under 11 years,0.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Gwent,,,Under 11 years,0.0
AEP used,Gwent,,,Under 11 years,0.0
AEP not stated,Gwent,,,Under 11 years,0.0
*Total Firearms,Gwent,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Gwent,Other,Total: Other,Under 11 years,1.0
"Dog use, of which",Gwent,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Gwent,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Gwent,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Gwent,,,Under 11 years,0.0
Other / improvised,Gwent,Other,Other / improvised,Under 11 years,1.0
*Total Not reported,Gwent,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,Under 11 years,4.0
*Total Tactics,Hampshire,Total,Total: all,Under 11 years,18.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,Under 11 years,6.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,Under 11 years,3.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,Under 11 years,3.0
Handcuffing not stated,Hampshire,,,Under 11 years,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,Under 11 years,1.0
Ground restraint,Hampshire,Restraint,Ground restraint,Under 11 years,2.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,Under 11 years,8.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,Under 11 years,2.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Hampshire,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Hampshire,,,Under 11 years,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,Under 11 years,1.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,Under 11 years,1.0
Irritant spray not stated,Hampshire,,,Under 11 years,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Hampshire,Other equipment,Shield,Under 11 years,1.0
*Total Less lethal weapons,Hampshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Hampshire,,,Under 11 years,0.0
CED non-discharge,Hampshire,,,Under 11 years,0.0
CED discharge,Hampshire,,,Under 11 years,0.0
CED not stated,Hampshire,,,Under 11 years,0.0
"AEP, of which",Hampshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
