Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Mental,5.0
Shield,Dorset,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Mental,37.0
CED,Dorset,Less lethal weapons,CED,Mental,37.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Dorset,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Dorset,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Dorset,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Mental,2.0
*Total Other,Dorset,Other,Total: Other,Mental,22.0
"Dog use, of which",Dorset,Other,Total: Dog,Mental,0.0
Dog deployed,Dorset,Other,Dog: deployed,Mental,0.0
Dog bite,Dorset,Other,Dog: bite,Mental,0.0
Not stated dog,Dorset,Other,Dog: not stated,Mental,0.0
Other / improvised,Dorset,Other,Other / improvised,Mental,22.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Mental,78.0
*Total Tactics,Durham,Total,Total: all,Mental,473.0
*Total Restraint,Durham,Restraint,Total: Restraint,Mental,274.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Mental,197.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Mental,98.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Mental,99.0
Not stated handcuffing,Durham,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Mental,14.0
Ground restraint,Durham,Restraint,Ground restraint,Mental,63.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Mental,142.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Mental,18.0
"Baton, of which",Durham,Other equipment,Total: Baton,Mental,1.0
Baton drawn,Durham,Other equipment,Baton: drawn,Mental,1.0
Baton used,Durham,Other equipment,Baton: used,Mental,0.0
Not stated baton,Durham,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Mental,12.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Mental,4.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Mental,8.0
Not stated irritant spray,Durham,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Mental,0.0
Shield,Durham,Other equipment,Shield,Mental,5.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Mental,22.0
CED,Durham,Less lethal weapons,CED,Mental,22.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Durham,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Durham,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Durham,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Mental,2.0
*Total Other,Durham,Other,Total: Other,Mental,15.0
"Dog use, of which",Durham,Other,Total: Dog,Mental,1.0
Dog deployed,Durham,Other,Dog: deployed,Mental,1.0
Dog bite,Durham,Other,Dog: bite,Mental,0.0
Not stated dog,Durham,Other,Dog: not stated,Mental,0.0
Other / improvised,Durham,Other,Other / improvised,Mental,14.0
*Total Not reported,Durham,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Mental,90.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Mental,1733.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Mental,931.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Mental,762.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Mental,386.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Mental,376.0
Not stated handcuffing,Dyfed-Powys,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Mental,58.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Mental,111.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Mental,555.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Mental,59.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Mental,3.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Mental,3.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Mental,0.0
Not stated baton,Dyfed-Powys,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Mental,41.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Mental,16.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Mental,25.0
Not stated irritant spray,Dyfed-Powys,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Mental,14.0
Shield,Dyfed-Powys,Other equipment,Shield,Mental,1.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Mental,111.0
CED,Dyfed-Powys,Less lethal weapons,CED,Mental,98.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Mental,13.0
AEP aimed,Dyfed-Powys,Less lethal weapons,AEP: Aimed,Mental,13.0
AEP fired,Dyfed-Powys,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Dyfed-Powys,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Mental,20.0
*Total Other,Dyfed-Powys,Other,Total: Other,Mental,57.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Mental,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Mental,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Mental,0.0
Not stated dog,Dyfed-Powys,Other,Dog: not stated,Mental,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Mental,57.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Mental,725.0
*Total Tactics,Essex,Total,Total: all,Mental,1986.0
*Total Restraint,Essex,Restraint,Total: Restraint,Mental,1233.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Mental,670.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Mental,234.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Mental,436.0
Not stated handcuffing,Essex,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Mental,176.0
Ground restraint,Essex,Restraint,Ground restraint,Mental,387.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Mental,487.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Mental,60.0
"Baton, of which",Essex,Other equipment,Total: Baton,Mental,17.0
Baton drawn,Essex,Other equipment,Baton: drawn,Mental,11.0
Baton used,Essex,Other equipment,Baton: used,Mental,6.0
Not stated baton,Essex,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Mental,19.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Mental,13.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Mental,6.0
Not stated irritant spray,Essex,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Mental,13.0
Shield,Essex,Other equipment,Shield,Mental,11.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Mental,45.0
CED,Essex,Less lethal weapons,CED,Mental,39.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Mental,6.0
AEP aimed,Essex,Less lethal weapons,AEP: Aimed,Mental,5.0
AEP fired,Essex,Less lethal weapons,AEP: Fired,Mental,1.0
Not stated AEP,Essex,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Mental,12.0
*Total Other,Essex,Other,Total: Other,Mental,149.0
"Dog use, of which",Essex,Other,Total: Dog,Mental,5.0
Dog deployed,Essex,Other,Dog: deployed,Mental,4.0
Dog bite,Essex,Other,Dog: bite,Mental,1.0
Not stated dog,Essex,Other,Dog: not stated,Mental,0.0
Other / improvised,Essex,Other,Other / improvised,Mental,144.0
*Total Not reported,Essex,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Mental,520.0
*Total Tactics,Gloucestershire,Total,Total: all,Mental,146.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Mental,87.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Mental,57.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Mental,29.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Mental,28.0
Not stated handcuffing,Gloucestershire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Mental,8.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Mental,22.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Mental,30.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Mental,9.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Mental,2.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Mental,1.0
Baton used,Gloucestershire,Other equipment,Baton: used,Mental,1.0
Not stated baton,Gloucestershire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Mental,5.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Mental,3.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Mental,2.0
Not stated irritant spray,Gloucestershire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Mental,2.0
Shield,Gloucestershire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Mental,17.0
CED,Gloucestershire,Less lethal weapons,CED,Mental,14.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Mental,3.0
AEP aimed,Gloucestershire,Less lethal weapons,AEP: Aimed,Mental,1.0
AEP fired,Gloucestershire,Less lethal weapons,AEP: Fired,Mental,2.0
Not stated AEP,Gloucestershire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Gloucestershire,Other,Total: Other,Mental,3.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Mental,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Mental,0.0
Dog bite,Gloucestershire,Other,Dog: bite,Mental,0.0
Not stated dog,Gloucestershire,Other,Dog: not stated,Mental,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Mental,3.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,Mental,66.0
*Total Tactics,Greater Manchester,Total,Total: all,Mental,1603.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,Mental,975.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,Mental,448.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,Mental,137.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,Mental,311.0
Not stated handcuffing,Greater Manchester,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,Mental,297.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,Mental,230.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,Mental,306.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,Mental,93.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,Mental,25.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,Mental,20.0
Baton used,Greater Manchester,Other equipment,Baton: used,Mental,5.0
Not stated baton,Greater Manchester,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,Mental,23.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,Mental,13.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,Mental,10.0
Not stated irritant spray,Greater Manchester,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,Mental,2.0
Shield,Greater Manchester,Other equipment,Shield,Mental,43.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,Mental,200.0
CED,Greater Manchester,Less lethal weapons,CED,Mental,198.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,Mental,2.0
AEP aimed,Greater Manchester,Less lethal weapons,AEP: Aimed,Mental,1.0
AEP fired,Greater Manchester,Less lethal weapons,AEP: Fired,Mental,1.0
Not stated AEP,Greater Manchester,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,Mental,4.0
*Total Other,Greater Manchester,Other,Total: Other,Mental,25.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,Mental,0.0
Dog deployed,Greater Manchester,Other,Dog: deployed,Mental,0.0
Dog bite,Greater Manchester,Other,Dog: bite,Mental,0.0
Not stated dog,Greater Manchester,Other,Dog: not stated,Mental,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,Mental,25.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,Mental,5.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,Mental,663.0
*Total Tactics,Gwent,Total,Total: all,Mental,475.0
*Total Restraint,Gwent,Restraint,Total: Restraint,Mental,270.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,Mental,244.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,Mental,131.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,Mental,113.0
Not stated handcuffing,Gwent,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,Mental,1.0
Ground restraint,Gwent,Restraint,Ground restraint,Mental,25.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,Mental,146.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,Mental,26.0
"Baton, of which",Gwent,Other equipment,Total: Baton,Mental,0.0
Baton drawn,Gwent,Other equipment,Baton: drawn,Mental,0.0
Baton used,Gwent,Other equipment,Baton: used,Mental,0.0
Not stated baton,Gwent,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,Mental,14.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,Mental,5.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,Mental,9.0
Not stated irritant spray,Gwent,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,Mental,7.0
Shield,Gwent,Other equipment,Shield,Mental,5.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,Mental,14.0
CED,Gwent,Less lethal weapons,CED,Mental,13.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,Mental,1.0
AEP aimed,Gwent,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Gwent,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Gwent,Less lethal weapons,AEP: Not stated,Mental,1.0
*Total Firearms,Gwent,Firearms,Total: Firearms,Mental,3.0
*Total Other,Gwent,Other,Total: Other,Mental,16.0
"Dog use, of which",Gwent,Other,Total: Dog,Mental,0.0
Dog deployed,Gwent,Other,Dog: deployed,Mental,0.0
Dog bite,Gwent,Other,Dog: bite,Mental,0.0
Not stated dog,Gwent,Other,Dog: not stated,Mental,0.0
Other / improvised,Gwent,Other,Other / improvised,Mental,16.0
*Total Not reported,Gwent,Not reported,Total: Not reported,Mental,19.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,Mental,148.0
*Total Tactics,Hampshire,Total,Total: all,Mental,669.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,Mental,414.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,Mental,211.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,Mental,54.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,Mental,157.0
Not stated handcuffing,Hampshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,Mental,70.0
Ground restraint,Hampshire,Restraint,Ground restraint,Mental,133.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,Mental,193.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,Mental,20.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,Mental,1.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,Mental,1.0
Baton used,Hampshire,Other equipment,Baton: used,Mental,0.0
Not stated baton,Hampshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,Mental,11.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,Mental,8.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,Mental,3.0
Not stated irritant spray,Hampshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,Mental,7.0
Shield,Hampshire,Other equipment,Shield,Mental,1.0
